type,66 min,74 min,84 min,G,NC-17,NR,PG,PG-13,R,TV-14,TV-G,TV-MA,TV-PG,TV-Y,TV-Y7,TV-Y7-FV,UR
Movie,0.0,0.0,0.0,0.7,0.0,1.2,4.7,8.0,13.0,23.3,2.1,33.6,8.8,2.1,2.3,0.1,0.0
TV Show,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,27.4,3.5,42.8,12.1,6.6,7.3,0.0,0.0
